📺深圳源,#genre#
深圳电视剧频道,http://113.118.14.135:808/hls/141/index.m3u8
深圳财经生活,http://113.118.14.135:808/hls/151/index.m3u8
深圳娱乐频道,http://113.118.14.135:808/hls/155/index.m3u8
深圳公共,http://113.118.14.135:808/hls/156/index.m3u8
深圳少儿,http://113.118.14.135:808/hls/157/index.m3u8
深圳健康频道,http://113.118.14.135:808/hls/158/index.m3u8
国学频道,http://113.118.14.135:808/hls/23/index.m3u8
中学,http://113.118.14.135:808/hls/24/index.m3u8
老故,http://113.118.14.135:808/hls/26/index.m3u8
书画,http://113.118.14.135:808/hls/33/index.m3u8
靓妆,http://113.118.14.135:808/hls/12/index.m3u8
汽摩,http://113.118.14.135:808/hls/66/index.m3u8

📺武汉源,#genre#
CCTV1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV2,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-3,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv
CCTV-4,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV-5,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV-6,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV-7,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV-8高清,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV-9高清,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV-10高清,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV-11,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8?key=txiptv
CCTV-12高清,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=txiptv
CCTV-13,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8?key=txiptv
CCTV-14高清,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=txiptv
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV-15,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=txiptv
湖北卫视,http://58.19.38.162:9901/tsfile/live/1015_1.m3u8?key=txiptv
湖南卫视高清,http://58.19.38.162:9901/tsfile/live/1016_1.m3u8?key=txiptv
北京卫视高清,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8?key=txiptv
东方卫视,http://58.19.38.162:9901/tsfile/live/1018_1.m3u8?key=txiptv
江苏卫视高清,http://58.19.38.162:9901/tsfile/live/1019_1.m3u8?key=txiptv
浙江卫视高清,http://58.19.38.162:9901/tsfile/live/1020_1.m3u8?key=txiptv
安徽卫视,http://58.19.38.162:9901/tsfile/live/1021_1.m3u8?key=txiptv
广东卫视,http://58.19.38.162:9901/tsfile/live/1022_1.m3u8?key=txiptv
深圳卫视高清,http://58.19.38.162:9901/tsfile/live/1023_1.m3u8?key=txiptv
天津卫视,http://58.19.38.162:9901/tsfile/live/1024_1.m3u8?key=txiptv
山东卫视高清,http://58.19.38.162:9901/tsfile/live/1025_1.m3u8?key=txiptv
河南卫视,http://58.19.38.162:9901/tsfile/live/1026_1.m3u8?key=txiptv
辽宁卫视,http://58.19.38.162:9901/tsfile/live/1027_1.m3u8?key=txiptv
东南卫视,http://58.19.38.162:9901/tsfile/live/1028_1.m3u8?key=txiptv
江西卫视高清,http://58.19.38.162:9901/tsfile/live/1029_1.m3u8?key=txiptv
贵州卫视,http://58.19.38.162:9901/tsfile/live/1030_1.m3u8?key=txiptv
金鹰卡通,http://58.19.38.162:9901/tsfile/live/1031_1.m3u8?key=txiptv
金鹰纪实,http://58.19.38.162:9901/tsfile/live/1032_1.m3u8?key=txiptv
快乐垂钓,http://58.19.38.162:9901/tsfile/live/1033_1.m3u8?key=txiptv
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=txiptv
第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv
家庭影院,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8?key=txiptv
动作电影,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8?key=txiptv
影迷电影,http://58.19.38.162:9901/tsfile/live/1038_1.m3u8?key=txiptv

📺信阳源,#genre#
CCTV-1综合,http://123.53.239.244:808/hls/1/index.m3u8
CCTV-2财经,http://123.53.239.244:808/hls/2/index.m3u8
CCTV-3综艺,http://123.53.239.244:808/hls/3/index.m3u8
CCTV-4中文国际,http://123.53.239.244:808/hls/4/index.m3u8
CCTV-5体育,http://123.53.239.244:808/hls/5/index.m3u8
CCTV-6电影,http://123.53.239.244:808/hls/6/index.m3u8
CCTV-7国防军事,http://123.53.239.244:808/hls/7/index.m3u8
CCTV-8电视剧,http://123.53.239.244:808/hls/8/index.m3u8
CCTV-9记录,http://123.53.239.244:808/hls/9/index.m3u8
CCTV-10科教,http://123.53.239.244:808/hls/10/index.m3u8
CCTV-11戏曲,http://123.53.239.244:808/hls/11/index.m3u8
CCTV-12社会与法,http://123.53.239.244:808/hls/12/index.m3u8
CCTV-13新闻,http://123.53.239.244:808/hls/13/index.m3u8
CCTV-14少儿 ,http://123.53.239.244:808/hls/14/index.m3u8
CCTV-15音乐,http://123.53.239.244:808/hls/15/index.m3u8
CNTV,http://123.53.239.244:808/hls/16/index.m3u8
CCTV-17农业农村,http://123.53.239.244:808/hls/17/index.m3u8
CCTV5+体育赛事,http://123.53.239.244:808/hls/18/index.m3u8
河南卫视,http://123.53.239.244:808/hls/31/index.m3u8
河南都市频道,http://123.53.239.244:808/hls/32/index.m3u8
河南民生频道,http://123.53.239.244:808/hls/33/index.m3u8
河南法制频道,http://123.53.239.244:808/hls/34/index.m3u8
河南电视剧频道,http://123.53.239.244:808/hls/35/index.m3u8
河南公共频道,http://123.53.239.244:808/hls/38/index.m3u8
河南新农村频道,http://123.53.239.244:808/hls/39/index.m3u8
河南国际频道,http://123.53.239.244:808/hls/40/index.m3u8
浙江卫视,http://123.53.239.244:808/hls/61/index.m3u8
东方卫视,http://123.53.239.244:808/hls/62/index.m3u8
江苏卫视,http://123.53.239.244:808/hls/63/index.m3u8
北京卫视,http://123.53.239.244:808/hls/64/index.m3u8
广东卫视,http://123.53.239.244:808/hls/65/index.m3u8
黑龙江卫视,http://123.53.239.244:808/hls/66/index.m3u8
山东卫视,http://123.53.239.244:808/hls/67/index.m3u8
安徽卫视,http://123.53.239.244:808/hls/68/index.m3u8
辽宁卫视,http://123.53.239.244:808/hls/69/index.m3u8
陕西卫视,http://123.53.239.244:808/hls/70/index.m3u8
贵州卫视,http://123.53.239.244:808/hls/71/index.m3u8
河北卫视,http://123.53.239.244:808/hls/72/index.m3u8
江西卫视,http://123.53.239.244:808/hls/73/index.m3u8
湖南卫视,http://123.53.239.244:808/hls/74/index.m3u8
深圳卫视,http://123.53.239.244:808/hls/75/index.m3u8
四川卫视,http://123.53.239.244:808/hls/76/index.m3u8
湖北卫视,http://123.53.239.244:808/hls/77/index.m3u8
天津卫视,http://123.53.239.244:808/hls/78/index.m3u8
云南卫视,http://123.53.239.244:808/hls/79/index.m3u8
重庆卫视,http://123.53.239.244:808/hls/80/index.m3u8
吉林卫视,http://123.53.239.244:808/hls/81/index.m3u8
宁夏卫视,http://123.53.239.244:808/hls/82/index.m3u8
东南卫视,http://123.53.239.244:808/hls/83/index.m3u8
内蒙古卫视,http://123.53.239.244:808/hls/84/index.m3u8
广西卫视,http://123.53.239.244:808/hls/85/index.m3u8
山西卫视,http://123.53.239.244:808/hls/86/index.m3u8
海南卫视,http://123.53.239.244:808/hls/88/index.m3u8
甘肃卫视,http://123.53.239.244:808/hls/89/index.m3u8
青海卫视,http://123.53.239.244:808/hls/90/index.m3u8
金鹰卡通,http://123.53.239.244:808/hls/91/index.m3u8
嘉佳卡通,http://123.53.239.244:808/hls/92/index.m3u8
卡酷动画,http://123.53.239.244:808/hls/93/index.m3u8
炫动卡通,http://123.53.239.244:808/hls/94/index.m3u8
信阳综合频道,http://123.53.239.244:808/hls/100/index.m3u8
信阳公共频道,http://123.53.239.244:808/hls/101/index.m3u8
浉河广电中心,http://123.53.239.244:808/hls/102/index.m3u8
平桥广电中心,http://123.53.239.244:808/hls/103/index.m3u8


📺轮播,#genre#

📺电视剧,#genre#

📺电影,#genre#

📺直播,#genre#

